"id","created_at","subject_matter","topic_description","level","question","type","answer_correct","explanation","answer_a","answer_b","answer_c","answer_d"
"11","2024-09-22 12:31:43.546285+00","Probability","Understanding Confusion Matrix","1 - Remember","Which term represents correctly classified positive cases?","multiple_options","a","True Positives (TP) represent the number of cases that were correctly predicted as positive. False Positives (FP) are incorrectly predicted positive cases, True Negatives (TN) are correctly predicted negative cases, and False Negatives (FN) are incorrectly predicted negative cases.","True Positives","False Positives","False Negatives","True Negatives"
"12","2024-09-22 12:31:43.546285+00","Probability","Understanding Confusion Matrix","1 - Remember","What type of error is represented by a False Negative?","multiple_options","b","A False Negative (FN) represents a Type II Error. It occurs when a positive case is incorrectly predicted as negative. Type I Error, also known as a False Positive, occurs when a negative case is incorrectly predicted as positive. There are no Type III or Type IV Errors in standard classification terminology.","Type I Error","Type II Error","Type IV Error","Type III Error"
"13","2024-09-22 12:31:43.546285+00","Probability","Key Performance Metrics","1 - Remember","Which metric measures the proportion of correctly predicted cases?","multiple_options","c","Accuracy represents the overall proportion of correctly predicted cases. Precision measures the ability to correctly identify positive cases out of all predicted positives, Recall (Sensitivity) measures the ability to identify all actual positive cases, and Specificity measures the ability to correctly identify negative cases.","Precision","Recall","Specificity","Accuracy"
"14","2024-09-22 12:31:43.546285+00","Probability","Key Performance Metrics","1 - Remember","What does the F1-Score represent?","multiple_options","b","The F1-Score is the harmonic mean of precision and recall, balancing both metrics. It is calculated as (2 * Precision * Recall) / (Precision + Recall). The geometric mean and arithmetic mean are different types of averages and are not used in the context of the F1-Score. The difference between precision and recall doesn't have a specific term.","Geometric mean of precision and recall","Harmonic mean of precision and recall","The difference between precision and recall","Arithmetic mean of precision and recall"
"20","2024-09-22 12:31:43.546285+00","Probability","Understanding Confusion Matrix","1 - Remember","What does a True Negative (TN) represent in a confusion matrix?","multiple_options","c","A True Negative (TN) represents a negative case that was correctly predicted as negative. The other options describe different scenarios: False Positive (FP), True Positive (TP), and False Negative (FN) respectively.","A negative case that was incorrectly predicted as positive.","A positive case that was correctly predicted as positive.","A positive case that was incorrectly predicted as negative.","A negative case that was correctly predicted as negative."
"71","2024-09-22 12:31:44.70949+00","Probability","Types of Errors in Confusion Matrix","1 - Remember","What type of error occurs when a model incorrectly predicts a positive outcome when the actual outcome is negative?","multiple_options","c","The correct answer is **False Positive (c)**.  A False Positive (Type I error) occurs when the model predicts a positive outcome (e.g., spam) but the actual outcome is negative (e.g., legitimate email). \n\nThe other options are incorrect because: \n\n* **True Positive (a)** represents a correct prediction of a positive outcome. \n* **True Negative (b)** represents a correct prediction of a negative outcome. \n* **False Negative (d)** occurs when a model incorrectly predicts a negative outcome when the actual outcome is positive.","True Positive","True Negative","False Negative","False Positive"
"72","2024-09-22 12:31:44.70949+00","Probability","Types of Errors in Confusion Matrix","1 - Remember","Which type of error is also known as a Type II error?","multiple_options","b","The correct answer is **False Negative (b)**. A False Negative (Type II error) is when the model incorrectly predicts a negative outcome when the actual outcome is positive. \n\nThe other options are incorrect because: \n\n* **False Positive (a)** is a Type I error. \n* **True Positive (c)** represents a correct prediction of a positive outcome. \n* **True Negative (d)** represents a correct prediction of a negative outcome.","False Positive","False Negative","True Negative","True Positive"
"73","2024-09-22 12:31:44.70949+00","Probability","Understanding the Trade-off","1 - Remember","What does 'Precision' measure in a classification model?","multiple_options","b","The correct answer is **The ratio of true positives to the total number of predicted positives (b)**. This means it tells you how accurate the positive predictions are. \n\nThe other options are incorrect because: \n\n* **The ability to correctly identify all positive cases (a)** is the definition of 'Recall' (Sensitivity). \n* **The ratio of true negatives to the total number of actual negatives (c)** is the definition of 'Specificity'. \n* **The harmonic mean of precision and recall (d)** is the definition of 'F1-Score'.","The ability to correctly identify all positive cases.","The ratio of true positives to the total number of predicted positives.","The harmonic mean of precision and recall.","The ratio of true negatives to the total number of actual negatives."
"74","2024-09-22 12:31:44.70949+00","Probability","Understanding the Trade-off","1 - Remember","What does 'Recall' (Sensitivity) measure in a classification model?","multiple_options","c","The correct answer is **The ratio of true positives to the total number of actual positives (c)**. This means it measures how well the model captures all the positive cases. \n\nThe other options are incorrect because: \n\n* **The ability to correctly identify all negative cases (a)** is the definition of 'Specificity'. \n* **The ratio of true positives to the total number of predicted positives (b)** is the definition of 'Precision'. \n* **The harmonic mean of precision and recall (d)** is the definition of 'F1-Score'.","The ability to correctly identify all negative cases.","The ratio of true positives to the total number of predicted positives.","The harmonic mean of precision and recall.","The ratio of true positives to the total number of actual positives."
"75","2024-09-22 12:31:44.70949+00","Probability","Understanding the Trade-off","1 - Remember","What is the F1-Score used for in a classification model?","multiple_options","d","The correct answer is **To provide a balanced measure of performance between precision and recall (d)**. It's a harmonic mean of precision and recall, giving a single value that considers both how accurate positive predictions are and how well the model captures all positive cases. \n\nThe other options are incorrect because: \n\n* **To measure the accuracy of the model (a)** is a broad concept, and while F1-Score is related to accuracy, it specifically focuses on the balance between precision and recall. \n* **To measure the ability of the model to correctly identify all positive cases (b)** is the definition of 'Recall'. \n* **To measure the ability of the model to correctly identify all negative cases (c)** is the definition of 'Specificity'.","To measure the accuracy of the model.","To measure the ability of the model to correctly identify all positive cases.","To provide a balanced measure of performance between precision and recall.","To measure the ability of the model to correctly identify all negative cases."
